resume_01.pdf: pages=3, redactions=24, images_removed=21, images_remaining=0, residual={'phone': [], 'email': [], 'id': [], 'name': None}
resume_02.pdf: pages=3, redactions=4, images_removed=1, images_remaining=0, residual={'phone': [], 'email': [], 'id': [], 'name': None}
resume_03.pdf: pages=4, redactions=5, images_removed=0, images_remaining=0, residual={'phone': [], 'email': [], 'id': [], 'name': None}
resume_04.pdf: pages=3, redactions=8, images_removed=1, images_remaining=0, residual={'phone': [], 'email': [], 'id': [], 'name': None}
resume_05.pdf: pages=2, redactions=5, images_removed=1, images_remaining=0, residual={'phone': [], 'email': [], 'id': [], 'name': None}
resume_06.pdf: pages=3, redactions=6, images_removed=1, images_remaining=0, residual={'phone': [], 'email': [], 'id': [], 'name': None}
resume_07.pdf: pages=4, redactions=11, images_removed=7, images_remaining=0, residual={'phone': [], 'email': [], 'id': [], 'name': None}
resume_08.pdf: pages=4, redactions=19, images_removed=12, images_remaining=0, residual={'phone': [], 'email': [], 'id': [], 'name': None}
resume_09.pdf: pages=2, redactions=4, images_removed=0, images_remaining=0, residual={'phone': [], 'email': [], 'id': [], 'name': None}
resume_10.pdf: pages=3, redactions=3, images_removed=0, images_remaining=0, residual={'phone': [], 'email': [], 'id': [], 'name': None}
resume_11.pdf: pages=4, redactions=2, images_removed=2, images_remaining=0, residual={'phone': [], 'email': [], 'id': [], 'name': None}
resume_12.pdf: pages=4, redactions=5, images_removed=1, images_remaining=0, residual={'phone': [], 'email': [], 'id': [], 'name': None}
resume_13.pdf: pages=3, redactions=7, images_removed=4, images_remaining=0, residual={'phone': [], 'email': [], 'id': [], 'name': None}
resume_14.pdf: pages=2, redactions=2, images_removed=0, images_remaining=0, residual={'phone': [], 'email': [], 'id': [], 'name': None}
resume_15.pdf: pages=2, redactions=4, images_removed=1, images_remaining=0, residual={'phone': [], 'email': [], 'id': [], 'name': None}
resume_16.pdf: pages=6, redactions=3, images_removed=0, images_remaining=0, residual={'phone': [], 'email': [], 'id': [], 'name': None}
resume_17.pdf: pages=5, redactions=3, images_removed=1, images_remaining=0, residual={'phone': [], 'email': [], 'id': [], 'name': None}
resume_18.pdf: pages=6, redactions=28, images_removed=3, images_remaining=0, residual={'phone': [], 'email': [], 'id': [], 'name': None}
resume_19.pdf: pages=5, redactions=6, images_removed=0, images_remaining=0, residual={'phone': [], 'email': [], 'id': [], 'name': None}
resume_20.pdf: pages=1, redactions=20, images_removed=15, images_remaining=0, residual={'phone': [], 'email': [], 'id': [], 'name': None}
